tag,p0,p1,diff,abs_diff
potluck,0.04397270659590599,0.07692307692307693,-0.032950370327170936,0.032950370327170936
high-in-something,0.04830499296003466,0.07953063885267275,-0.03122564589263809,0.03122564589263809
weeknight,0.08762049171450233,0.11864406779661017,-0.031023576082107845,0.031023576082107845
course,0.9386981479475793,0.9687092568448501,-0.030011108897270766,0.030011108897270766
dinner-party,0.15108848694898733,0.17992177314211213,-0.028833286193124807,0.028833286193124807
beef,0.07169933932632946,0.09908735332464146,-0.02738801399831199,0.02738801399831199
poultry,0.1004007364886819,0.12777053455019557,-0.02736979806151367,0.02736979806151367
eggs-dairy,0.12736921910538287,0.15384615384615385,-0.02647693474077098,0.02647693474077098
seasonal,0.09531030001083071,0.121251629726206,-0.025941329715375286,0.025941329715375286
lunch,0.104949637171017,0.1303780964797914,-0.025428459308774395,0.025428459308774395
crock-pot-slow-cooker,0.02772663273042348,0.05215123859191656,-0.02442460586149308,0.02442460586149308
copycat,0.0057402794324704865,0.02998696219035202,-0.024246682757881534,0.024246682757881534
ground-beef,0.0336835264811004,0.05736636245110821,-0.02368283597000781,0.02368283597000781
cheese,0.06368460955269144,0.08604954367666232,-0.022364934123970878,0.022364934123970878
very-low-carbs,0.03465829091302935,0.054758800521512385,-0.020100509608483037,0.020100509608483037
low-calorie,0.1639770388822701,0.18383311603650587,-0.019856077154235763,0.019856077154235763
finger-food,0.02577710386656558,0.04563233376792699,-0.01985522990136141,0.01985522990136141
presentation,0.10549117296653308,0.12516297262059975,-0.019671799654066666,0.019671799654066666
fruit,0.13625040615184664,0.11734028683181226,0.018910119320034377,0.018910119320034377
barbecue,0.016462688183688942,0.035202086049543675,-0.018739397865854733,0.018739397865854733
novelty,0.01689591682010181,0.035202086049543675,-0.018306169229441865,0.018306169229441865
picnic,0.03249214773096502,0.04954367666232073,-0.01705152893135571,0.01705152893135571
grilling,0.018520524206650058,0.035202086049543675,-0.016681561842893617,0.016681561842893617
canadian,0.019386981479475793,0.035202086049543675,-0.015815104570067882,0.015815104570067882
stews,0.005415357955160836,0.020860495436766623,-0.015445137481605788,0.015445137481605788
appetizers,0.08783710603270876,0.10299869621903521,-0.015161590186326443,0.015161590186326443
fall,0.03335860500379075,0.048239895697522815,-0.014881290693732063,0.014881290693732063
time-to-make,0.9747644319289505,0.9895697522816167,-0.01480532035266624,0.01480532035266624
yeast,0.00888118704646377,0.02346805736636245,-0.01458687031989868,0.01458687031989868
savory,0.04429762807321564,0.05867014341590613,-0.01437251534269049,0.01437251534269049
pasta-rice-and-grains,0.12260370410484132,0.13689700130378096,-0.014293297198939639,0.014293297198939639
breads,0.0628181522798657,0.07692307692307693,-0.014104924643211225,0.014104924643211225
low-saturated-fat,0.1348424130835048,0.14863102998696218,-0.013788616903457368,0.013788616903457368
beverages,0.04061518466370627,0.027379400260756193,0.013235784402950077,0.013235784402950077
spicy,0.03639120545868082,0.04954367666232073,-0.01315247120363991,0.01315247120363991
european,0.10072565796599155,0.11342894393741851,-0.012703285971426961,0.012703285971426961
cakes,0.03855734864074516,0.02607561929595828,0.012481729344786877,0.012481729344786877
salads,0.0693165818260587,0.05736636245110821,0.011950219374950485,0.011950219374950485
mexican,0.028484782844145996,0.04041720990873533,-0.011932427064589336,0.011932427064589336
chicken-breasts,0.035091519549442216,0.0469361147327249,-0.011844595183282687,0.011844595183282687
for-large-groups,0.07408209682660023,0.06258148631029987,0.011500610516300358,0.011500610516300358
summer,0.04332286364128669,0.054758800521512385,-0.011435936880225699,0.011435936880225699
low-protein,0.14242391422073,0.15384615384615385,-0.011422239625423852,0.011422239625423852
potatoes,0.04483916386873172,0.0560625814863103,-0.011223417617578578,0.011223417617578578
served-hot,0.051445900574027946,0.06258148631029987,-0.011135585736271929,0.011135585736271929
diabetic,0.02935124011697173,0.04041720990873533,-0.011065969791763601,0.011065969791763601
lactose,0.016354381024585724,0.027379400260756193,-0.011025019236170469,0.011025019236170469
cookies-and-brownies,0.05729448716560165,0.06779661016949153,-0.010502123003889877,0.010502123003889877
vegetarian,0.14989710819885194,0.16036505867014342,-0.010467950471291482,0.010467950471291482
pasta,0.060652009097801364,0.07040417209908735,-0.009752163001285986,0.009752163001285986
snacks,0.033141990685584315,0.02346805736636245,0.009673933319221863,0.009673933319221863
winter,0.03205891909455215,0.041720990873533245,-0.009662071778981096,0.009662071778981096
